"07459: Population, by region, age, contents and year"

"region";"age";"Persons 2024"
"K-3101 Halden";"0 years";286
"K-3101 Halden";"1 year";245
"K-3101 Halden";"2 years";283
"K-3101 Halden";"3 years";286
"K-3101 Halden";"4 years";279
"K-3101 Halden";"5 years";271
"K-3101 Halden";"6 years";338
"K-3101 Halden";"7 years";342
"K-3101 Halden";"8 years";326
"K-3101 Halden";"9 years";334
"K-3101 Halden";"10 years";360
"K-3101 Halden";"11 years";352
"K-3101 Halden";"12 years";351
"K-3101 Halden";"13 years";395
"K-3101 Halden";"14 years";393
"K-3101 Halden";"15 years";415
"K-3101 Halden";"16 years";391
"K-3101 Halden";"17 years";375
"K-3101 Halden";"18 years";354
"K-3101 Halden";"19 years";399
"K-3101 Halden";"20 years";363
"K-3101 Halden";"21 years";386
"K-3101 Halden";"22 years";374
"K-3101 Halden";"23 years";351
"K-3101 Halden";"24 years";333
"K-3101 Halden";"25 years";355
"K-3101 Halden";"26 years";367
"K-3101 Halden";"27 years";407
"K-3101 Halden";"28 years";346
"K-3101 Halden";"29 years";378
"K-3101 Halden";"30 years";375
"K-3101 Halden";"31 years";385
"K-3101 Halden";"32 years";394
"K-3101 Halden";"33 years";451
"K-3101 Halden";"34 years";410
"K-3101 Halden";"35 years";394
"K-3101 Halden";"36 years";371
"K-3101 Halden";"37 years";400
"K-3101 Halden";"38 years";384
"K-3101 Halden";"39 years";419
"K-3101 Halden";"40 years";352
"K-3101 Halden";"41 years";366
"K-3101 Halden";"42 years";365
"K-3101 Halden";"43 years";399
"K-3101 Halden";"44 years";392
"K-3101 Halden";"45 years";411
"K-3101 Halden";"46 years";409
"K-3101 Halden";"47 years";408
"K-3101 Halden";"48 years";399
"K-3101 Halden";"49 years";423
"K-3101 Halden";"50 years";435
"K-3101 Halden";"51 years";460
"K-3101 Halden";"52 years";452
"K-3101 Halden";"53 years";438
"K-3101 Halden";"54 years";431
"K-3101 Halden";"55 years";504
"K-3101 Halden";"56 years";461
"K-3101 Halden";"57 years";475
"K-3101 Halden";"58 years";480
"K-3101 Halden";"59 years";408
"K-3101 Halden";"60 years";421
"K-3101 Halden";"61 years";420
"K-3101 Halden";"62 years";406
"K-3101 Halden";"63 years";405
"K-3101 Halden";"64 years";398
"K-3101 Halden";"65 years";397
"K-3101 Halden";"66 years";381
"K-3101 Halden";"67 years";391
"K-3101 Halden";"68 years";394
"K-3101 Halden";"69 years";366
"K-3101 Halden";"70 years";398
"K-3101 Halden";"71 years";300
"K-3101 Halden";"72 years";348
"K-3101 Halden";"73 years";353
"K-3101 Halden";"74 years";345
"K-3101 Halden";"75 years";339
"K-3101 Halden";"76 years";377
"K-3101 Halden";"77 years";364
"K-3101 Halden";"78 years";300
"K-3101 Halden";"79 years";257
"K-3101 Halden";"80 years";215
"K-3101 Halden";"81 years";184
"K-3101 Halden";"82 years";168
"K-3101 Halden";"83 years";156
"K-3101 Halden";"84 years";149
"K-3101 Halden";"85 years";115
"K-3101 Halden";"86 years";98
"K-3101 Halden";"87 years";101
"K-3101 Halden";"88 years";97
"K-3101 Halden";"89 years";72
"K-3101 Halden";"90 years";65
"K-3101 Halden";"91 years";67
"K-3101 Halden";"92 years";59
"K-3101 Halden";"93 years";36
"K-3101 Halden";"94 years";29
"K-3101 Halden";"95 years";20
"K-3101 Halden";"96 years";17
"K-3101 Halden";"97 years";19
"K-3101 Halden";"98 years";10
"K-3101 Halden";"99 years";2
"K-3101 Halden";"100 years";3
"K-3101 Halden";"101 years";5
"K-3101 Halden";"102 years";1
"K-3101 Halden";"103 years";0
"K-3101 Halden";"104 years";0
"K-3101 Halden";"105 years or older";1
"K-3103 Moss";"0 years";394
"K-3103 Moss";"1 year";461
"K-3103 Moss";"2 years";484
"K-3103 Moss";"3 years";479
"K-3103 Moss";"4 years";490
"K-3103 Moss";"5 years";479
"K-3103 Moss";"6 years";522
"K-3103 Moss";"7 years";522
"K-3103 Moss";"8 years";582
"K-3103 Moss";"9 years";542
"K-3103 Moss";"10 years";562
"K-3103 Moss";"11 years";584
"K-3103 Moss";"12 years";605
"K-3103 Moss";"13 years";606
"K-3103 Moss";"14 years";670
"K-3103 Moss";"15 years";624
"K-3103 Moss";"16 years";627
"K-3103 Moss";"17 years";665
"K-3103 Moss";"18 years";600
"K-3103 Moss";"19 years";634
"K-3103 Moss";"20 years";546
"K-3103 Moss";"21 years";562
"K-3103 Moss";"22 years";548
"K-3103 Moss";"23 years";533
"K-3103 Moss";"24 years";543
"K-3103 Moss";"25 years";542
"K-3103 Moss";"26 years";565
"K-3103 Moss";"27 years";571
"K-3103 Moss";"28 years";572
"K-3103 Moss";"29 years";599
"K-3103 Moss";"30 years";630
"K-3103 Moss";"31 years";629
"K-3103 Moss";"32 years";634
"K-3103 Moss";"33 years";664
"K-3103 Moss";"34 years";649
"K-3103 Moss";"35 years";679
"K-3103 Moss";"36 years";730
"K-3103 Moss";"37 years";638
"K-3103 Moss";"38 years";661
"K-3103 Moss";"39 years";624
"K-3103 Moss";"40 years";656
"K-3103 Moss";"41 years";626
"K-3103 Moss";"42 years";648
"K-3103 Moss";"43 years";719
"K-3103 Moss";"44 years";656
"K-3103 Moss";"45 years";685
"K-3103 Moss";"46 years";661
"K-3103 Moss";"47 years";666
"K-3103 Moss";"48 years";743
"K-3103 Moss";"49 years";766
"K-3103 Moss";"50 years";723
"K-3103 Moss";"51 years";793
"K-3103 Moss";"52 years";784
"K-3103 Moss";"53 years";737
"K-3103 Moss";"54 years";813
"K-3103 Moss";"55 years";818
"K-3103 Moss";"56 years";790
"K-3103 Moss";"57 years";748
"K-3103 Moss";"58 years";763
"K-3103 Moss";"59 years";768
"K-3103 Moss";"60 years";692
"K-3103 Moss";"61 years";654
"K-3103 Moss";"62 years";641
"K-3103 Moss";"63 years";628
"K-3103 Moss";"64 years";669
"K-3103 Moss";"65 years";615
"K-3103 Moss";"66 years";596
"K-3103 Moss";"67 years";568
"K-3103 Moss";"68 years";603
"K-3103 Moss";"69 years";564
"K-3103 Moss";"70 years";541
"K-3103 Moss";"71 years";547
"K-3103 Moss";"72 years";512
"K-3103 Moss";"73 years";594
"K-3103 Moss";"74 years";506
"K-3103 Moss";"75 years";562
"K-3103 Moss";"76 years";535
"K-3103 Moss";"77 years";552
"K-3103 Moss";"78 years";508
"K-3103 Moss";"79 years";444
"K-3103 Moss";"80 years";364
"K-3103 Moss";"81 years";347
"K-3103 Moss";"82 years";256
"K-3103 Moss";"83 years";264
"K-3103 Moss";"84 years";218
"K-3103 Moss";"85 years";217
"K-3103 Moss";"86 years";202
"K-3103 Moss";"87 years";171
"K-3103 Moss";"88 years";139
"K-3103 Moss";"89 years";102
"K-3103 Moss";"90 years";85
"K-3103 Moss";"91 years";79
"K-3103 Moss";"92 years";72
"K-3103 Moss";"93 years";61
"K-3103 Moss";"94 years";30
"K-3103 Moss";"95 years";30
"K-3103 Moss";"96 years";21
"K-3103 Moss";"97 years";8
"K-3103 Moss";"98 years";19
"K-3103 Moss";"99 years";9
"K-3103 Moss";"100 years";4
"K-3103 Moss";"101 years";7
"K-3103 Moss";"102 years";0
"K-3103 Moss";"103 years";1
"K-3103 Moss";"104 years";0
"K-3103 Moss";"105 years or older";0
"K-3105 Sarpsborg";"0 years";568
"K-3105 Sarpsborg";"1 year";584
"K-3105 Sarpsborg";"2 years";615
"K-3105 Sarpsborg";"3 years";574
"K-3105 Sarpsborg";"4 years";598
"K-3105 Sarpsborg";"5 years";618
"K-3105 Sarpsborg";"6 years";651
"K-3105 Sarpsborg";"7 years";671
"K-3105 Sarpsborg";"8 years";696
"K-3105 Sarpsborg";"9 years";680
"K-3105 Sarpsborg";"10 years";686
"K-3105 Sarpsborg";"11 years";738
"K-3105 Sarpsborg";"12 years";724
"K-3105 Sarpsborg";"13 years";713
"K-3105 Sarpsborg";"14 years";859
"K-3105 Sarpsborg";"15 years";760
"K-3105 Sarpsborg";"16 years";766
"K-3105 Sarpsborg";"17 years";733
"K-3105 Sarpsborg";"18 years";719
"K-3105 Sarpsborg";"19 years";676
"K-3105 Sarpsborg";"20 years";667
"K-3105 Sarpsborg";"21 years";705
"K-3105 Sarpsborg";"22 years";667
"K-3105 Sarpsborg";"23 years";652
"K-3105 Sarpsborg";"24 years";695
"K-3105 Sarpsborg";"25 years";643
"K-3105 Sarpsborg";"26 years";729
"K-3105 Sarpsborg";"27 years";730
"K-3105 Sarpsborg";"28 years";778
"K-3105 Sarpsborg";"29 years";721
"K-3105 Sarpsborg";"30 years";783
"K-3105 Sarpsborg";"31 years";808
"K-3105 Sarpsborg";"32 years";844
"K-3105 Sarpsborg";"33 years";853
"K-3105 Sarpsborg";"34 years";768
"K-3105 Sarpsborg";"35 years";814
"K-3105 Sarpsborg";"36 years";736
"K-3105 Sarpsborg";"37 years";744
"K-3105 Sarpsborg";"38 years";762
"K-3105 Sarpsborg";"39 years";715
"K-3105 Sarpsborg";"40 years";793
"K-3105 Sarpsborg";"41 years";771
"K-3105 Sarpsborg";"42 years";762
"K-3105 Sarpsborg";"43 years";801
"K-3105 Sarpsborg";"44 years";732
"K-3105 Sarpsborg";"45 years";779
"K-3105 Sarpsborg";"46 years";757
"K-3105 Sarpsborg";"47 years";800
"K-3105 Sarpsborg";"48 years";809
"K-3105 Sarpsborg";"49 years";803
"K-3105 Sarpsborg";"50 years";849
"K-3105 Sarpsborg";"51 years";920
"K-3105 Sarpsborg";"52 years";842
"K-3105 Sarpsborg";"53 years";861
"K-3105 Sarpsborg";"54 years";895
"K-3105 Sarpsborg";"55 years";822
"K-3105 Sarpsborg";"56 years";803
"K-3105 Sarpsborg";"57 years";772
"K-3105 Sarpsborg";"58 years";778
"K-3105 Sarpsborg";"59 years";782
"K-3105 Sarpsborg";"60 years";721
"K-3105 Sarpsborg";"61 years";758
"K-3105 Sarpsborg";"62 years";703
"K-3105 Sarpsborg";"63 years";664
"K-3105 Sarpsborg";"64 years";696
"K-3105 Sarpsborg";"65 years";663
"K-3105 Sarpsborg";"66 years";725
"K-3105 Sarpsborg";"67 years";668
"K-3105 Sarpsborg";"68 years";552
"K-3105 Sarpsborg";"69 years";603
"K-3105 Sarpsborg";"70 years";607
"K-3105 Sarpsborg";"71 years";612
"K-3105 Sarpsborg";"72 years";517
"K-3105 Sarpsborg";"73 years";521
"K-3105 Sarpsborg";"74 years";558
"K-3105 Sarpsborg";"75 years";560
"K-3105 Sarpsborg";"76 years";601
"K-3105 Sarpsborg";"77 years";591
"K-3105 Sarpsborg";"78 years";546
"K-3105 Sarpsborg";"79 years";476
"K-3105 Sarpsborg";"80 years";390
"K-3105 Sarpsborg";"81 years";352
"K-3105 Sarpsborg";"82 years";272
"K-3105 Sarpsborg";"83 years";276
"K-3105 Sarpsborg";"84 years";248
"K-3105 Sarpsborg";"85 years";237
"K-3105 Sarpsborg";"86 years";210
"K-3105 Sarpsborg";"87 years";175
"K-3105 Sarpsborg";"88 years";136
"K-3105 Sarpsborg";"89 years";98
"K-3105 Sarpsborg";"90 years";101
"K-3105 Sarpsborg";"91 years";94
"K-3105 Sarpsborg";"92 years";57
"K-3105 Sarpsborg";"93 years";69
"K-3105 Sarpsborg";"94 years";45
"K-3105 Sarpsborg";"95 years";30
"K-3105 Sarpsborg";"96 years";21
"K-3105 Sarpsborg";"97 years";21
"K-3105 Sarpsborg";"98 years";7
"K-3105 Sarpsborg";"99 years";9
"K-3105 Sarpsborg";"100 years";4
"K-3105 Sarpsborg";"101 years";1
"K-3105 Sarpsborg";"102 years";1
"K-3105 Sarpsborg";"103 years";0
"K-3105 Sarpsborg";"104 years";1
"K-3105 Sarpsborg";"105 years or older";0
"K-3107 Fredrikstad";"0 years";713
"K-3107 Fredrikstad";"1 year";689
"K-3107 Fredrikstad";"2 years";785
"K-3107 Fredrikstad";"3 years";773
"K-3107 Fredrikstad";"4 years";827
"K-3107 Fredrikstad";"5 years";832
"K-3107 Fredrikstad";"6 years";896
"K-3107 Fredrikstad";"7 years";915
"K-3107 Fredrikstad";"8 years";923
"K-3107 Fredrikstad";"9 years";910
"K-3107 Fredrikstad";"10 years";932
"K-3107 Fredrikstad";"11 years";975
"K-3107 Fredrikstad";"12 years";960
"K-3107 Fredrikstad";"13 years";1001
"K-3107 Fredrikstad";"14 years";1105
"K-3107 Fredrikstad";"15 years";1013
"K-3107 Fredrikstad";"16 years";1061
"K-3107 Fredrikstad";"17 years";1078
"K-3107 Fredrikstad";"18 years";1116
"K-3107 Fredrikstad";"19 years";1019
"K-3107 Fredrikstad";"20 years";997
"K-3107 Fredrikstad";"21 years";973
"K-3107 Fredrikstad";"22 years";951
"K-3107 Fredrikstad";"23 years";989
"K-3107 Fredrikstad";"24 years";955
"K-3107 Fredrikstad";"25 years";943
"K-3107 Fredrikstad";"26 years";988
