"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2024"
"030100aa Oslo total";"0 years";8328
"030100aa Oslo total";"1 year";7734
"030100aa Oslo total";"2 years";8118
"030100aa Oslo total";"3 years";7429
"030100aa Oslo total";"4 years";7343
"030100aa Oslo total";"5 years";6989
"030100aa Oslo total";"6 years";7037
"030100aa Oslo total";"7 years";7136
"030100aa Oslo total";"8 years";7075
"030100aa Oslo total";"9 years";7358
"030100aa Oslo total";"10 years";7029
"030100aa Oslo total";"11 years";7243
"030100aa Oslo total";"12 years";7237
"030100aa Oslo total";"13 years";7238
"030100aa Oslo total";"14 years";7294
"030100aa Oslo total";"15 years";7191
"030100aa Oslo total";"16 years";7217
"030100aa Oslo total";"17 years";6976
"030100aa Oslo total";"18 years";6947
"030100aa Oslo total";"19 years";7096
"030100aa Oslo total";"20 years";7878
"030100aa Oslo total";"21 years";8258
"030100aa Oslo total";"22 years";9250
"030100aa Oslo total";"23 years";10450
"030100aa Oslo total";"24 years";11680
"030100aa Oslo total";"25 years";12938
"030100aa Oslo total";"26 years";14434
"030100aa Oslo total";"27 years";15814
"030100aa Oslo total";"28 years";16053
"030100aa Oslo total";"29 years";16008
"030100aa Oslo total";"30 years";15904
"030100aa Oslo total";"31 years";15795
"030100aa Oslo total";"32 years";15372
"030100aa Oslo total";"33 years";15058
"030100aa Oslo total";"34 years";14519
"030100aa Oslo total";"35 years";13839
"030100aa Oslo total";"36 years";12896
"030100aa Oslo total";"37 years";12487
"030100aa Oslo total";"38 years";11742
"030100aa Oslo total";"39 years";11374
"030100aa Oslo total";"40 years";10771
"030100aa Oslo total";"41 years";10610
"030100aa Oslo total";"42 years";10279
"030100aa Oslo total";"43 years";10412
"030100aa Oslo total";"44 years";9949
"030100aa Oslo total";"45 years";9644
"030100aa Oslo total";"46 years";9261
"030100aa Oslo total";"47 years";9283
"030100aa Oslo total";"48 years";9301
"030100aa Oslo total";"49 years";9378
"030100aa Oslo total";"50 years";8968
